train,test,n,g,g_est
camel,xalan,12,0.242922999,0.057916037
camel,xerces,13,0.204450925,0.038519722
ivy,ant,5,0.033700143,0.033700143
ivy,camel,6,0,0.020884052
ivy,jedit,7,0.07614152,0.117894158
ivy,log4j,8,0.187868245,0.118742369
ivy,lucene,9,0.143661361,0.060537391
ivy,poi,10,0.170316504,0.05111557
ivy,velocity,11,0.122563426,0.046214325
ivy,xalan,12,0.232321741,0.07971675
ivy,xerces,13,0.250983846,0.062126847
jedit,ant,5,0.307642248,0.307642248
jedit,camel,6,0.094874359,0.057879206
jedit,log4j,7,0.059692015,0.099058918
jedit,velocity,8,0.042663308,0.045326571
jedit,ivy,9,0.183003087,0.211369775
jedit,lucene,10,0.048997773,0.059799074
jedit,poi,11,0.033378863,0.055059641
jedit,xerces,12,0.044836913,0.059965605
jedit,xalan,14,0.076625985,0.080620557
log4j,ant,5,0.484669415,0.484669415
log4j,camel,6,0.519864086,0.288871646
log4j,ivy,7,0.455852508,0.292864019
log4j,jedit,8,0.513879027,0.216890375
log4j,lucene,9,0.552358351,0.158310929
log4j,poi,10,0.41578616,0.115180728
log4j,velocity,11,0.534505719,0.115209306
log4j,xalan,12,0.45982974,0.128021705
log4j,xerces,13,0.57931541,0.117671139
lucene,ant,5,0.491697911,0.491697911
lucene,camel,6,0.562227263,0.425549454
lucene,ivy,7,0.54185575,0.375861263
lucene,jedit,8,0.626387176,0.319264575
lucene,log4j,9,0.54584845,0.188416824
lucene,poi,10,0.585244511,0.193524691
lucene,velocity,11,0.521654034,0.173272839
lucene,xalan,12,0.516157019,0.176538619
lucene,xerces,13,0.540680982,0.164672232
poi,ant,5,0.609638732,0.609638732
poi,camel,6,0.596316229,0.510932842
poi,ivy,7,0.63356122,0.461761248
poi,jedit,8,0.629277596,0.396767831
poi,log4j,9,0.604283914,0.271590242
poi,lucene,10,0.604435683,0.232665055
poi,velocity,11,0.53177833,0.224487909
poi,xalan,12,0.479772965,0.214442913
poi,xerces,13,0.492189297,0.201063017
velocity,ant,5,0.595267301,0.595267301
velocity,ivy,6,0.577452668,0.519606958
velocity,log4j,7,0.451979303,0.331719929
velocity,camel,8,0.513920557,0.520152801
velocity,jedit,9,0.368580596,0.405742971
velocity,lucene,10,0.490182876,0.275584692
velocity,poi,11,0.370191188,0.218762762
velocity,xalan,12,0.478529682,0.247453759
velocity,xerces,13,0.430573392,0.22656417
xalan,ant,5,0.651003223,0.651003223
xalan,camel,6,0.47429125,0.497222026
xalan,jedit,7,0.548390424,0.453292122
xalan,log4j,8,0.489512205,0.371167998
xalan,ivy,9,0.590997096,0.548364929
xalan,lucene,10,0.591364004,0.328214577
xalan,poi,11,0.59293713,0.272216244
xalan,velocity,12,0.568100001,0.26743942
xalan,xerces,13,0.530335487,0.260316539
xerces,ant,5,0.625507644,0.625507644
xerces,log4j,6,0.508067911,0.439617954
xerces,ivy,7,0.54690553,0.556705663
xerces,jedit,8,0.396361881,0.441533612
xerces,lucene,9,0.489598089,0.36049128
xerces,camel,10,0.579555785,0.542112837
xerces,poi,11,0.576616419,0.315701983
xerces,velocity,12,0.548833566,0.302613689
xerces,xalan,13,0.464026781,0.271517428
ant,ivy,6,0.425575509,0.212787755
ant,jedit,7,0.559397703,0.186465901
ant,log4j,8,0.102189781,0.025547445
ant,lucene,9,0.185922975,0.037184595
ant,poi,10,0.172620087,0.028770015
ant,velocity,11,0.112764478,0.016109211
ant,xalan,12,0.322423576,0.040302947
ant,xerces,13,0.243043995,0.027004888
camel,ant,5,0.27387697,0.27387697
camel,ivy,6,0.340955966,0.27687186
camel,jedit,7,0.489333682,0.287421828
camel,log4j,8,0.129496403,0.051534685
camel,lucene,9,0.170752388,0.063898154
camel,poi,10,0.482807358,0.104442905
camel,velocity,11,0.136509841,0.033309301
camel,xalan,12,0.272814083,0.069366839
camel,xerces,13,0.221097288,0.048570711
ivy,ant,5,0.249019045,0.249019045
ivy,camel,6,0.13575682,0.161163823
ivy,poi,7,0.073528564,0.094138125
ivy,jedit,8,0.426560319,0.333231263
ivy,velocity,9,0.150743688,0.056796179
ivy,log4j,10,0.066878408,0.067923512
ivy,xalan,11,0.189295577,0.086499516
ivy,xerces,12,0.131214122,0.058901137
ivy,lucene,15,0.083089662,0.091230008
jedit,ant,5,0.076860084,0.076860084
jedit,camel,6,0.091617502,0.126390662
jedit,ivy,7,0.125902067,0.226548596
jedit,log4j,8,0.015267176,0.054759428
jedit,lucene,9,0.013604628,0.075704932
jedit,poi,10,0.008450704,0.079856888
jedit,velocity,11,0.010840108,0.050231026
jedit,xalan,12,0.050720855,0.082027183
jedit,xerces,13,0.012158055,0.053707461
log4j,ant,5,0.694470478,0.694470478
log4j,camel,6,0.54309049,0.334740576
log4j,ivy,7,0.682617475,0.378571556
log4j,jedit,8,0.680619822,0.420078402
log4j,lucene,9,0.64687173,0.189938291
log4j,poi,10,0.597242945,0.166087897
log4j,velocity,11,0.58482226,0.126601202
log4j,xalan,12,0.551577863,0.140721018
log4j,xerces,13,0.545500606,0.108351144
lucene,ant,5,0.496438677,0.496438677
lucene,camel,6,0.51205247,0.423396523
lucene,ivy,7,0.472466062,0.409869724
lucene,log4j,8,0.600706714,0.19124625
lucene,jedit,9,0.524654605,0.447367171
lucene,poi,10,0.460838064,0.215212925
lucene,velocity,11,0.562839794,0.188921001
lucene,xalan,12,0.513473915,0.18731513
lucene,xerces,13,0.541832196,0.156515705
poi,ant,5,0.651858209,0.651858209
poi,camel,6,0.557653895,0.490525209
poi,ivy,7,0.595436332,0.47172526
poi,jedit,8,0.641629365,0.495932719
poi,log4j,9,0.573213046,0.267639609
poi,lucene,10,0.601345498,0.258506159
poi,velocity,11,0.445405956,0.225561709
poi,xalan,12,0.528710504,0.229989552
poi,xerces,13,0.510703237,0.195869875
velocity,ant,5,0.542646639,0.542646639
velocity,camel,6,0.432077781,0.461301495
velocity,jedit,7,0.439307393,0.477057611
velocity,ivy,8,0.433521469,0.464759853
velocity,log4j,9,0.417707151,0.297653117
velocity,lucene,10,0.381650409,0.279030201
velocity,poi,11,0.407319276,0.242656689
velocity,xalan,12,0.507086527,0.264626674
velocity,xerces,13,0.524554471,0.232390386
xalan,ant,5,0.649178672,0.649178672
xalan,ivy,6,0.639501235,0.552130544
xalan,log4j,7,0.566920098,0.387408777
xalan,camel,8,0.466847172,0.473475637
xalan,jedit,9,0.542815885,0.495628945
xalan,lucene,10,0.582308415,0.32957657
xalan,poi,11,0.522807233,0.282678196
xalan,velocity,12,0.503357641,0.2602862
xalan,xerces,13,0.460598339,0.257746825
xerces,ant,5,0.428276655,0.428276655
xerces,camel,6,0.377599756,0.425537697
xerces,ivy,7,0.464329599,0.522863562
xerces,log4j,8,0.452194478,0.403605203
xerces,lucene,9,0.551301685,0.373921593
xerces,poi,10,0.33453183,0.291320468
xerces,jedit,11,0.577622378,0.519301793
xerces,velocity,12,0.524452487,0.293306986
xerces,xalan,13,0.451959314,0.285441412
ant,camel,5,0.135787223,0.135787223
ant,ivy,6,0.285080033,0.142540016
ant,jedit,7,0.354305569,0.118101856
ant,log4j,8,0.08819368,0.02204842
ant,lucene,9,0.120171674,0.024034335
ant,poi,10,0.136645026,0.022774171
ant,velocity,11,0.141389612,0.020198516
ant,xalan,12,0.189295577,0.023661947
ant,xerces,13,0.159922683,0.017769187
camel,ant,5,0.360018183,0.360018183
camel,ivy,6,0.272460783,0.2075004
camel,jedit,7,0.567536616,0.267913443
camel,log4j,8,0.200033923,0.066544796
camel,lucene,9,0.147493948,0.048726257
camel,poi,10,0.243909168,0.059630004
camel,velocity,11,0.186041939,0.043890434
camel,xalan,12,0.32548505,0.061389835
camel,xerces,13,0.292684593,0.048315343
ivy,ant,5,0.011363588,0.011363588
ivy,camel,7,0.120332221,0.132703794
ivy,jedit,8,0.222366761,0.265202199
ivy,log4j,9,0.022812304,0.063645694
ivy,lucene,10,0.035874439,0.071263877
ivy,poi,11,0.036111111,0.061103222
ivy,velocity,12,0.026879044,0.074084247
ivy,xalan,14,0.099863606,0.10368593
ivy,xerces,17,0.079263054,0.081153597
jedit,ant,5,0.157687254,0.157687254
jedit,camel,6,0.017636404,0.075170099
jedit,ivy,7,0.169032464,0.194677754
jedit,log4j,8,0.022813688,0.053437693
jedit,lucene,9,0.027027027,0.062416507
jedit,poi,10,0.033379694,0.056482634
jedit,velocity,11,0.010839892,0.065049339
jedit,xalan,12,0.074602756,0.100050533
jedit,xerces,13,0.067925631,0.079683823
log4j,ant,5,0.415609018,0.415609018
log4j,camel,6,0.576961832,0.326065966
log4j,ivy,7,0.503234441,0.297529983
log4j,jedit,8,0.53789725,0.333375962
log4j,lucene,9,0.593985124,0.16873023
log4j,poi,10,0.541991443,0.137400769
log4j,velocity,11,0.578645235,0.138420182
log4j,xalan,12,0.519585744,0.152492434
