iteration,ant,camel,ivy,jedit,log4j,lucene,poi,velocity,xalan,xerces,runtime
0,0,0,0,0,0,0.5337954939341422,0.6212481403659453,0.48920684319532437,0.5685582420026638,0.0,34.436399936676025
1,0,0,0,0,0,0.5353552002637219,0.6181818181818182,0.49616432023230783,0.5658020037826239,0.0,35.01240015029907
2,0,0,0,0,0,0.5386842904182527,0.6163093631312972,0.48608995130640636,0.5716271491562888,0.0,34.23639988899231
3,0,0,0,0,0,0.5372780239332938,0.6152701110215221,0.48977283726711873,0.5676946564885496,0.0,34.37480020523071
4,0,0,0,0,0,0.5323955569123829,0.6170816870187106,0.49057903625285015,0.5664882602185479,0.0,34.336599826812744
5,0,0,0,0,0,0.5388581781019186,0.617906683480454,0.4853009223555542,0.5636857092128046,0.0,34.25480008125305
6,0,0,0,0,0,0.535548686244204,0.6086758112016131,0.4852782476759273,0.5618398710799714,0.0,34.44199991226196
7,0,0,0,0,0,0.5322314049586777,0.6121236500912832,0.4874434212237823,0.5685582420026638,0.0,34.30859994888306
8,0,0,0,0,0,0.5322314049586777,0.6135425138389694,0.48718646085635703,0.5685582420026638,0.4200761514295969,34.240999937057495
9,0,0,0,0,0,0.5260361317747078,0.6161434977578475,0.4849286095901031,0.5719863347974622,0.0,34.99820017814636
10,0,0,0,0,0,0.5433551552925034,0.6185173934448552,0.4847353162198903,0.5658210478867264,0.0,34.509599924087524
11,0,0,0,0,0,0.5356934901595436,0.6092413727690923,0.4858844457062826,0.5680989060918223,0.0,33.937000036239624
12,0,0,0,0,0,0.535548686244204,0.615259240605501,0.4873170581498844,0.5552618283928424,0.4230038518562668,34.08060002326965
13,0,0,0,0,0,0.5402455661664393,0.6096263808692421,0.4881786474439071,0.5668589137182597,0.42285102717377115,34.1768000125885
14,0,0,0,0,0,0.5276326804938155,0.6109940288022481,0.48557546087265707,0.5790643367214559,0.0,34.12239980697632
15,0,0,0,0,0,0.5371186698315074,0.617466742165272,0.48705442550852107,0.5656981503355633,0.0,33.83960032463074
16,0,0,0,0,0,0.5323955569123829,0.6084455378320944,0.4862320401193736,0.5685093004977732,0.0,35.57419967651367
17,0,0,0,0,0,0.5371186698315074,0.6148303518077525,0.48920712203048167,0.5664169073317451,0.4280691025837028,35.67500019073486
18,0,0,0,0,0,0.5322314049586777,0.6147280677350438,0.4971138690177195,0.5714285714285714,0.0,35.289599895477295
19,0,0,0,0,0,0.536910542342194,0.6147280677350438,0.4950692999366554,0.5692670844886878,0.0,35.45560026168823
20,0,0,0,0,0,0.5325112107623318,0.6079097719950172,0.4914212477632753,0.5637110980622431,0.0,35.317399740219116
21,0,0,0,0,0,0.5339743213929765,0.62124248496994,0.48791634470698275,0.5696719406691322,0.42027367811815286,36.85640001296997
22,0,0,0,0,0,0.5430886324576479,0.6088477757362001,0.49144822837402546,0.5652259243044129,0.0,34.36400008201599
23,0,0,0,0,0,0.5371186698315074,0.6185173934448552,0.4848783217029675,0.5706174104572608,0.0,33.96379995346069
24,0,0,0,0,0,0.535548686244204,0.6172762060096606,0.48786080712474644,0.5716429661299702,0.0,33.935200214385986
25,0,0,0,0,0,0.5290900049726504,0.6224742360829846,0.48845574307027784,0.5640397107488663,0.0,33.98039984703064
26,0,0,0,0,0,0.5308123743341916,0.6167445120324702,0.48729043557755064,0.5779353253457468,0.0,35.18499994277954
27,0,0,0,0,0,0.5339743213929765,0.6099220455911983,0.4915178806320922,0.5705882352941176,0.0,35.04639983177185
28,0,0,0,0,0,0.5371186698315074,0.6093851969512271,0.48633203162205924,0.5688752905648382,0.0,34.933600187301636
29,0,0,0,0,0,0.536910542342194,0.6167445120324702,0.4828012842186523,0.5677998175378768,0.0,34.089200019836426
